1x2;1x3;1x4;1x5;1x6;1x7;1x8;1x9;2x2;2x3;2x4;3x3;
1;1;1;1;1;1;1;1;1;1;1;1;
3;6;10;15;21;28;36;45;9;18;30;36;
3;16;50;120;245;448;756;1200;40;256;777;760;
1;25;170;700;2170;5586;12600;25740;108;2867;16826;12596;
0;0;145;1554;8820;35612;115254;318600;186;17674;252923;180521;
0;0;8;1447;19495;138229;684525;2670025;40;24247;2460777;2239334;
0;0;0;3;15148;262688;2295786;13699020;0;1017;6582037;21735024;
0;0;0;0;180;202464;4198049;43476100;0;0;1006981;104854762;
0;0;0;0;0;64;3006846;73952585;0;0;1568;56740912;
0;0;0;0;0;0;8067;51649124;0;0;0;30614;
0;0;0;0;0;0;0;2120;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;
8;48;384;3840;46080;645120;10321920;185794560;384;46080;10321920;185794560;
